FA_Splenium_by_QSM,FA_Splenium_by_QSM_age,FA_SLF_by_QSM,FA_SLF_by_QSM_age,T1w_T2w_Ratio_BA44
0.806419,0.762918,0.626276,0.615805,1.22523
0.77357,0.777481,0.662016,0.61092,1.21051
0.81804,0.829393,0.542808,0.483942,1.23524
0.881223,0.897197,0.601453,0.592473,1.23931
0.850993,0.862646,0.600405,0.545024,1.25482
0.883037,0.901129,0.61019,0.584843,1.24625
0.78471,0.769554,0.611728,0.606112,1.213
0.805815,0.812408,0.562611,0.52705,1.24435
0.839529,0.854452,0.561408,0.541176,1.21013
0.866617,0.848099,0.605556,0.584225,1.2535
0.839982,0.844533,0.567868,0.567654,1.26722
0.955986,0.997203,0.655039,0.569644,1.3018
0.852304,0.904065,0.594718,0.571167,1.20184
0.801432,0.811093,0.564422,0.555187,1.19826
0.868814,0.873952,0.585784,0.545053,1.26413
0.843902,0.871398,0.567506,0.538364,1.24744
0.843998,0.81519,0.594935,0.543462,1.23134
0.862728,0.842038,0.662587,0.598826,1.27108
0.804524,0.816074,0.58876,0.53711,1.2134
0.829664,0.808317,0.662797,0.619945,1.34586
0.755019,0.772752,0.641811,0.602581,1.26523
0.826186,0.814881,0.588153,0.566417,1.23089
0.8231,0.760183,0.590783,0.585236,1.27284
0.827213,0.826909,0.577925,0.564891,1.24308
0.867618,0.861273,0.560682,0.534013,1.26369
0.830735,0.740866,0.621182,0.554855,1.12992
0.808336,0.789185,0.616573,0.567903,1.28937
0.825597,0.862262,0.58875,0.596337,1.30984
0.858548,0.829346,0.55865,0.563228,1.2173
0.830428,0.795449,0.59323,0.532522,1.27281
0.787677,0.75482,0.577713,0.57177,1.17139
0.822944,0.821167,0.574518,0.550779,1.24366
0.871259,0.868284,0.60631,0.582024,1.26847
0.864701,0.814656,0.607352,0.579503,1.26148
0.757823,0.731906,0.652362,0.577424,1.31758
0.778064,0.770866,0.627237,0.603317,1.19542
0.849445,0.840868,0.585243,0.579679,1.17816
0.842537,0.829381,0.560169,0.570461,1.23544
0.815492,0.807087,0.615846,0.577159,1.24483
0.795981,0.792475,0.587818,0.578821,1.19028
0.892476,0.888305,0.659808,0.661885,1.27113
0.846038,0.869168,0.626246,0.587933,1.23463
0.861668,0.886396,0.624359,0.583687,1.26256
0.806981,0.824736,0.583697,0.540151,1.28946
0.882276,0.858899,0.615593,0.553113,1.18608
0.848453,0.834209,0.594464,0.563682,1.19772
0.842698,0.847246,0.563269,0.524677,1.23105
0.807437,0.832989,0.547955,0.486869,1.23506
0.804131,0.798089,0.5755440000000001,0.570226,1.24102
0.842318,0.879905,0.598744,0.532656,1.2337
0.849008,0.892163,0.591238,0.549696,1.24278
0.864034,0.869652,0.620912,0.572723,1.19476
0.787148,0.7782,0.595628,0.623265,1.22699
0.860952,0.825178,0.579999,0.58102,1.21861
0.759734,0.719753,0.597366,0.545625,1.32082
0.818224,0.793187,0.529948,0.538754,1.23206
0.785045,0.790552,0.612135,0.595874,1.28428
0.804957,0.84666,0.623773,0.586024,1.2661
0.862011,0.840949,0.581579,0.497535,1.25748
0.790738,0.78349,0.655773,0.627798,1.1983
0.849344,0.824292,0.612067,0.604996,1.31426
0.850831,0.867709,0.589453,0.570467,1.23528
0.868973,0.877866,0.664173,0.623626,1.17135
0.792776,0.778801,0.662304,0.58554,1.29197
0.82865,0.831612,0.608155,0.629637,1.25851
0.870656,0.909123,0.56868,0.532718,1.27131
0.816809,0.802666,0.627481,0.60629,1.1948
0.79352,0.814616,0.600189,0.583284,1.22395
0.85771,0.858177,0.563524,0.570124,1.24339
0.851547,0.861385,0.62398,0.590119,1.21818
0.820634,0.845117,0.613087,0.60583,1.21745
0.837682,0.833406,0.571784,0.533449,1.26154
0.851676,0.894403,0.603382,0.530867,1.26223
0.773126,0.820994,0.622808,0.597223,1.2048
0.853836,0.886685,0.629024,0.617359,1.23845
0.813407,0.831326,0.653175,0.601083,1.27098
0.859882,0.857973,0.613101,0.569659,1.32014
0.84396,0.84702,0.553705,0.56741,1.25226
0.794497,0.767028,0.575373,0.576412,1.25889
0.869026,0.870637,0.682057,0.642614,1.1888
0.818336,0.842236,0.574345,0.578377,1.22615
0.812986,0.783894,0.55351,0.503442,1.26992
